level3code,level3,categorycode,category,subcategorycode,subcategory,iditem,coditem,FMCODE,ean,item,is_deleted
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,11,20435,21aecda,7790580104269,TOPLINE ORIGINAL M QUASAR X 24G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,50,20364,21aecda,77944276,BELDENT CHICLE SIN AZUCAR CHICLE GLOBO X 10G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,51,20365,21aecda,77901651,BELDENT CHICLE SIN AZUCAR FRUTILLA X 10G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,74,20659,21aecda,7790580102432,TOPLINE ORIGINAL MINT MADRAS X 24G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,83,20595,21aecda,77946645,BELDENT CHICLE SIN AZUCAR MENTA/POMELO X 10G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,85,20594,21aecda,77946652,BELDENT CHICLE SIN AZUCAR MENTA/MANGO X 10G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,166,19822,21aecda,77951113,TOPLINE 7 CHICLE S/AZUCAR STRAWBERRY X 14G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,167,19823,21aecda,,TOPLINE 7 CHICLE S/AZUCAR ATM STRONG X 14G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,173,20204,21aecda,7622300845902,BELDENT INFINIT CHICLE SIN AZUCAR LIVE X 26.6 G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,174,20205,21aecda,7622300845872,BELDENT INFINIT CHICLE SIN AZUCAR WOW X 26.6 G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,198,20203,21aecda,7622300845933,BELDENT INFINIT CHICLE SIN AZUCAR WILD X 26.6 G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,298,21216,21aecda,7895144293769,MENTOS CHICLES BOTELLA WINTERGREEN X 56G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,299,21217,21aecda,7895144293752,MENTOS CHICLES BOTELLA FRESH MINT X 56G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,366,20883,21aecda,77948588,TOPLINE 7 SANDIA X 14G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,370,20857,21aecda,7790580104252,TOPLINE 7 VIOLET CHERRY X 14G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,386,20790,21aecca,77942401,BELDENT CHICLE SIN AZUCAR MENTOL TURBO X 10G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,416,20961,21aecda,7790580105297,TOPLINE NF MELON X 24G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,417,20962,21aecda,7790580105211,TOPLINE NF FRAMBUESA X 24G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,493,04812,21aecca,022000001733,WRIGLEYs CHICLE JUICY FRUIT BARRITA X 15 G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,519,17025,21aecda,77916426,TOPLINE CHICLE S/AZUCAR NUEVA MENTA TABL. X 6.7 GR,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,520,17026,21aecda,77916389,TOPLINE CHICLE SIN AZUCAR FRUTA TABLETA X 6.7 GR,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,521,17033,21aecda,77916396,TOPLINE CHICLE STRONG S/AZUCAR TABLETA X 6.7G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,698,19086,21aecca,7790580587307,FLICS CHICLES TABLETA FRUTA x 12.6G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,730,18842,21aecda,77931764,TOPLINE 7 CHICLE X-PLOSIVE MINT CAJA X 14G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,731,18843,21aecda,77932693,TOPLINE 7 CHICLE S/AZUCAR MANDARINA  CAJA X 14G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,873,18655,21aecda,77919489,"TOPLINE CHICLE S/AZUCAR SANDIA/MENT TABLETA X 6,7G",f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,880,18671,21aecda,7622300854218,BELDENT INFINIT CHICLE SIN AZUCAR BERRY X 26.6 G,f
02-01,Kiosko,08-00-00,Golosinas,08-01-00,Chicles,895,18234,21aecca,0022000001719,WRIGLEYs CHICLE SPEARMINT BARRITA X 15GR,f
